Fecha,Caudal,Caudal_log,Caudal_log1p,Caudal_log_diff,Caudal_diff,Mes,Mes_nombre,Trimestre,Trimestre_label,Año,Epoca
2014-03-20,3.666,1.5403021735992382,1.5403021735992382,-0.03495828703327564,-0.16599999999999993,3,Mar,1,Q1,2014,Lluviosa
2014-03-21,3.551,1.515346989034505,1.515346989034505,-0.024955184564733113,-0.11499999999999977,3,Mar,1,Q1,2014,Lluviosa
2014-03-22,3.637,1.534067605409324,1.5340676054093239,0.01872061637481881,0.08599999999999985,3,Mar,1,Q1,2014,Lluviosa
2014-03-23,4.309,1.6694034936015345,1.6694034936015345,0.13533588819221065,0.6720000000000002,3,Mar,1,Q1,2014,Lluviosa
2014-03-24,3.587,1.523226215615035,1.523226215615035,-0.1461772779864996,-0.722,3,Mar,1,Q1,2014,Lluviosa
2014-03-25,3.496,1.50318811259139,1.50318811259139,-0.02003810302364495,-0.09100000000000019,3,Mar,1,Q1,2014,Lluviosa
2014-03-26,3.529,1.510501164574077,1.5105011645740767,0.007313051982686725,0.03299999999999992,3,Mar,1,Q1,2014,Lluviosa
2014-03-27,3.716,1.5509609826751245,1.5509609826751245,0.04045981810104782,0.18700000000000028,3,Mar,1,Q1,2014,Lluviosa
2014-03-28,3.435,1.489527615761543,1.489527615761543,-0.06143336691358159,-0.28100000000000014,3,Mar,1,Q1,2014,Lluviosa
2014-03-29,3.285,1.4551205520497432,1.4551205520497432,-0.03440706371179969,-0.1499999999999999,3,Mar,1,Q1,2014,Lluviosa
2014-03-30,3.336,1.4669522641373451,1.4669522641373451,0.01183171208760192,0.05099999999999971,3,Mar,1,Q1,2014,Lluviosa
2014-03-31,3.298,1.4581497982203186,1.4581497982203186,-0.008802465917026492,-0.03799999999999981,3,Mar,1,Q1,2014,Lluviosa
2014-04-01,3.248,1.4464482839396378,1.4464482839396378,-0.011701514280680891,-0.04999999999999982,4,Abr,2,Q2,2014,Lluviosa
2014-04-02,3.212,1.4379375942717292,1.4379375942717292,-0.008510689667908578,-0.03600000000000003,4,Abr,2,Q2,2014,Lluviosa
2014-04-03,3.221,1.4400720668003617,1.4400720668003617,0.002134472528632525,0.008999999999999897,4,Abr,2,Q2,2014,Lluviosa
2014-04-04,3.262,1.4497385336764257,1.4497385336764255,0.009666466876063762,0.040999999999999925,4,Abr,2,Q2,2014,Lluviosa
2014-04-05,3.183,1.4310286924600613,1.4310286924600613,-0.01870984121636421,-0.07900000000000018,4,Abr,2,Q2,2014,Lluviosa
2014-04-06,3.221,1.4400720668003617,1.4400720668003617,0.009043374340300447,0.038000000000000256,4,Abr,2,Q2,2014,Lluviosa
2014-04-07,3.709,1.5494755712614174,1.5494755712614174,0.10940350446105573,0.488,4,Abr,2,Q2,2014,Lluviosa
2014-04-08,4.286,1.6650618161820974,1.6650618161820974,0.11558624492067993,0.5769999999999995,4,Abr,2,Q2,2014,Lluviosa
2014-04-09,4.026,1.6146244391214004,1.6146244391214004,-0.05043737706069695,-0.2599999999999998,4,Abr,2,Q2,2014,Lluviosa
2014-04-10,3.507,1.5056317437085112,1.5056317437085112,-0.10899269541288925,-0.5189999999999997,4,Abr,2,Q2,2014,Lluviosa
2014-04-11,3.399,1.4813772423665827,1.4813772423665827,-0.024254501341928414,-0.1080000000000001,4,Abr,2,Q2,2014,Lluviosa
2014-04-12,3.278,1.453485610660214,1.4534856106602139,-0.02789163170636888,-0.121,4,Abr,2,Q2,2014,Lluviosa
2014-04-13,3.219,1.4395981331422016,1.4395981331422016,-0.013887477518012226,-0.05900000000000016,4,Abr,2,Q2,2014,Lluviosa
2014-04-14,3.414,1.4847813078345449,1.4847813078345447,0.04518317469234301,0.19500000000000028,4,Abr,2,Q2,2014,Lluviosa
